archivo,cuadro,documento,ubicacion,tier,nota
pensiones_institucion.csv,C5.1,Analiticos del PEF aprobado 2024 y 2025,"tipo de gasto 4, GF y entidades; partida 45203 excluida del GF",oficial_primaria,"PEF aprobado, no proyecto. Perimetro adjudicado contra el 4.4 y 4.5 % del PIB que publica el CGPE 2025 Anexo III.2, no supuesto. dif_real en pesos de 2025."
salud_subsistema.csv,C6.1,Analiticos del PEF aprobado 2024 y 2025,"finalidad 2, funcion 3 Salud, GF y entidades",oficial_primaria,"PEF aprobado, no proyecto. BRUTO: los analiticos no netean las aportaciones y transferencias que el cuadro de la exposicion de motivos si neteaba. La exposicion de motivos del PPEF no existe para 2022-2026, de ahi la sustitucion de fuente. dif_real en pesos de 2025."
educacion_ramo.csv,C7.1 y C7.2,Analiticos del PEF aprobado 2024 y 2025,"finalidad 2, funcion 5 Educacion, Gobierno Federal",oficial_primaria,"PEF aprobado, no proyecto. Bruto. Las entidades de control directo tienen cero en funcion Educacion. dif_real en pesos de 2025."
fone_entidad.csv,C7.3,Analiticos del PEF aprobado 2024 y 2025,"programas I013 a I016 del Ramo 33, columna EF del analitico",oficial_primaria,"PEF aprobado, no proyecto. La Ciudad de Mexico no recibe FONE: su educacion basica y normal va por el Ramo 25. dif_real en pesos de 2025."
energia_gasto.csv,C9.1,Analiticos del PEF aprobado 2024 y 2025,"finalidad 3, funcion 3 Combustibles y Energia, GF y entidades",oficial_primaria,"PEF aprobado, no proyecto. Bruto. dif_real en pesos de 2025."
seguridad_subfuncion.csv,C10.1,Analiticos del PEF aprobado 2024 y 2025,"finalidad 1, funciones 2/3/6/7/8, quince subfunciones enumeradas en el archivo",oficial_primaria,"PEF aprobado, no proyecto. Perimetro propio de la casa, fijado en 2020 y enumerado para que sea reproducible. dif_real en pesos de 2025."
federalizado.csv,C11.1 y C11.2,Analiticos del PEF aprobado 2024 y 2025,"ramos 25, 28 y 33 del analitico de Gobierno Federal, columna EF",oficial_primaria,"PEF aprobado, no proyecto. No incluye convenios de reasignacion, que viven en los ramos sectoriales. dif_real en pesos de 2025."
inversion.csv,C8.1 y C8.2,Analiticos del PEF aprobado 2024 y 2025,"capitulos 5000, 6000 y 7000 del objeto del gasto, GF y entidades",oficial_primaria,"PEF aprobado, no proyecto. Capitulo 6000 es obra publica DIRECTA; no incluye la infraestructura que se transfiere a estados por el capitulo 8000. dif_real en pesos de 2025."
ingresos_art1o.csv,C2.1,LIF aprobada 2024 y 2025; ILIF 2025,"articulo 1o., renglones de primer y segundo nivel",oficial_primaria,"Aprobado contra aprobado. Deflactor 1.043 (CGPE 2025 Anexo II.5). dif_real en pesos de 2025. La columna de la Camara es la diferencia entre la ley aprobada y la iniciativa, que el genero no puede dar porque publica antes de que ocurra."
cuotas_imss.csv,insumo de F5.1,LIF aprobada,"articulo 1o., renglon 2.22 Cuotas para la Seguridad Social",oficial_primaria,"Denominador de la serie aprobada pensiones IMSS / cuotas IMSS. Los puntos de 2022 (411,852.5) y 2023 (470,845.4) vienen de la corrida 2024."
razones_estructurales.csv,"razones de la casa, en el capitulo que indica la primera columna",Analiticos del PEF aprobado; LIF aprobada; DEC Anexo 3; CGPE 2025,ver columnas numerador y denominador,oficial_primaria,Aprobado contra aprobado en toda la serie. Ninguna linea hibrida. Los puntos anteriores a 2024 vienen de las corridas 2021-2023 y llevan su origen en la nota de cada fila.
energia_ingresos.csv,C3.1,LIF aprobada 2024 y 2025,"articulo 1o., renglones 9.97.01, 7.72.01, 7.72.02 y 1.18.01",oficial_primaria,"Aprobado contra aprobado. Deflactor 1.043. dif_real en pesos de 2025. PERIMETRO: no es 'ingresos petroleros' del CGPE, que consolida distinto; es la entrada bruta del sector energetico al articulo 1o. por sus cuatro vias, cada una nombrada. La suma NO se compara con el agregado del CGPE sin declarar el neteo."
energia_empresas.csv,C9.1b,Analiticos del PEF aprobado 2024 y 2025,entidades TYY y TVV; ramo 18 del Gobierno Federal,oficial_primaria,"PEF aprobado, no proyecto. Bruto. La pregunta del capitulo es por que via entra el dinero a las empresas: aportacion del Ramo 18, ingreso propio (ver C3.1) o deuda. dif_real en pesos de 2025."
triada_nta.csv,C13.1,Analiticos del PEF aprobado; CGPE 2025,"perimetros de los capitulos 5, 6 y 7 de este documento",oficial_primaria,"Los tres verticies con los MISMOS perimetros de sus capitulos, para que la comparacion no sea entre objetos distintos. La ultima columna es el hallazgo: el paquete tiene horizonte demografico donde la demografia presiona al alza y no lo tiene donde presiona a la baja."
descomposicion.csv,C12.4,CGPE 2025 Anexos III.1 y III.2; CGPE 2024 para la prueba,p. 84 y 85; construccion propia,autoral_ited,"Todo en puntos del PIB. La convencion de reparto del efecto denominador se declara en el encabezado del script y en la nota de metodo: otra convencion movería decimas entre crecimiento e inflacion sin cambiar la suma. NO es el marco de manual (primario + r - g), que este documento no presenta."
techos.csv,C12.3,ILIF y LIF aprobada 2024 y 2025; decretos,articulos 1o. y 2o.,oficial_primaria,"TRES OBJETOS DISTINTOS que se confunden habitualmente: el techo es una autorizacion, el endeudamiento informativo es lo que se preve ejercer, y el deficit es el flujo. En 2025 valen 1,580,000, 1,576,170.0 y 1,170,566.5 y ninguno es el otro. El renglon en dolares no se suma con los de pesos."
